,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o
40,40,40,0454bc4c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,255,,,,mean_reciprocal_rank_filtered_with_test,0.2606033747237667,40,71ca4484,256.0,Adagrad,0.2066072635193971,1.0,16.0,normal_,0.3196886401871867,-0.2561329177504871,lp,True,3.1667878296730626e-05,2.5373313844888768e-08,-0.2351169371977448,-0.3124555721879005,[],[]
41,41,41,0454bc4c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1521173334135301,41,a01b0b8e,1024.0,Adagrad,0.0008405203038798,3.0,512.0,normal_,4.8067238092905694e-05,-0.1618464921552315,lp,True,6.835120999368883e-20,6.743387416839787e-06,-0.4905795622617006,0.4257072797045111,[],[]
42,42,42,0454bc4c,fb15k-237,complex,0,search,negative_sampling,valid,365,,,,mean_reciprocal_rank_filtered_with_test,0.1704989435192115,42,a3e2aaea,128.0,Adam,0.0197722075902054,7.0,64.0,uniform_,0.0420039652122764,-0.6863617624143232,lp,False,3.1552504178516983e-08,1.0833934387458285e-15,0.2547945193946361,-0.0847038431093096,[],[]
43,43,43,0454bc4c,fb15k-237,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.00206951383923,43,ce2091fc,1024.0,Adagrad,0.0046152653739054,4.0,64.0,uniform_,4.049351284198986e-05,-0.4242414126382954,,False,0.0084459082137609,1.274292547930675e-19,-0.050985693000257,0.3360302709043026,[],[]
44,44,44,0454bc4c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.1252243420525021,44,c3a7cc41,128.0,Adam,0.6608833718048103,6.0,256.0,normal_,0.003862805457663,-0.9150665672262293,lp,True,1.4140343972665476e-14,2.0701977182570363e-10,0.1938750771805644,-0.1848461721092462,[],[]
45,45,45,0454bc4c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,345,,,,mean_reciprocal_rank_filtered_with_test,0.1440420498289136,45,263a67ae,512.0,Adam,0.0007362265282048,10.0,16.0,xavier_uniform_,0.0001797896813547,-0.5107313241203688,lp,True,1.5287732022900815e-10,0.00236024335958,0.437619024887681,0.0481588998809456,[],[]
46,46,46,0454bc4c,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1854001121640647,46,49e79095,256.0,Adagrad,0.1053741931352778,1.0,256.0,xavier_normal_,0.1922123812098748,-0.0171910840421076,lp,False,1.4107645308515314e-17,1.467911551767788e-12,-0.2994902804493904,-0.4570334004238248,[],[]
47,47,47,0454bc4c,fb15k-237,complex,0,search,negative_sampling,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.244061402863915,47,1ff69816,512.0,Adagrad,0.0300666897739283,3.0,256.0,normal_,0.0239133037169101,-0.7993275734831765,lp,True,6.914870190681815e-10,1.7379290079480886e-18,0.2354370830580592,-0.3676521452143788,[],[]
48,48,48,0454bc4c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.2614357223053892,48,9bfcae0a,256.0,Adam,0.001649202547158,7.0,64.0,uniform_,0.0001218167202878,-0.2909552235030103,lp,False,4.601934907246474e-17,2.7856136543895197e-09,-0.0035583516582846,0.1534797633066773,[],[]
49,49,49,0454bc4c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.1790656131932563,49,3eb755a0,1024.0,Adam,0.3140181243848808,9.0,256.0,xavier_normal_,0.5792592332639317,-0.1348483800773322,,False,0.0026414624678316,0.041479497611347,-0.2551147863268852,-0.0167886782437562,[],[]
