,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout
33,33,33,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,270,,,,mean_reciprocal_rank_filtered_with_test,0.3491532002958369,33,8ababf9c,512.0,Adagrad,0.1491883911819351,8.0,512.0,normal_,0.0061583494300145,-0.671497321972549,lp,False,1.7801991997492872e-18,3.820885431254873e-19,-0.3426735512912273,0.3766468307003379
34,34,34,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,265,,,,mean_reciprocal_rank_filtered_with_test,0.3349222035839036,34,fe1d7e23,256.0,Adam,0.0011669900312112,0.0,64.0,xavier_normal_,0.0002552142665684,-0.4153164085513353,,True,0.0198226069125194,0.0136418562359891,0.2209834046661853,-0.2431476814672351
35,35,35,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.3202836236010122,35,f06d54b5,512.0,Adagrad,0.0272226952148609,5.0,64.0,xavier_normal_,0.0295335345202083,-0.8539163801601249,lp,True,5.776432951525446e-10,1.5266665833186334e-06,-0.0141531536355614,0.2766819959506392
36,36,36,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3326224782577702,36,f9f7aa05,256.0,Adam,0.007952028531819,2.0,512.0,xavier_normal_,0.0021533519962571,-0.1061629956567007,lp,False,8.287691789019751e-12,9.664901667393961e-14,0.4246311774477362,-0.0957280127331614
37,37,37,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0367322031439353,37,6fb0c565,1024.0,Adam,0.543411881578104,3.0,16.0,xavier_uniform_,0.6495380731895933,-0.316706557647176,lp,False,2.2410276799053903e-05,6.78427479202834e-18,0.1127491453662514,0.0009792782366275
38,38,38,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0066594633173663,38,1327f83e,128.0,Adagrad,0.0003618830316048,9.0,256.0,uniform_,8.952393721379552e-05,-0.5650369026022032,,True,6.6402822233475314e-18,6.009685354121589e-06,-0.4529730519279837,-0.3675106484442949
39,39,39,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.3164880339766894,39,a50b8129,512.0,Adam,0.0142860402164397,8.0,256.0,xavier_uniform_,5.037365525357436e-05,-0.7220018059133831,lp,False,1.2106592480776797e-12,7.382736223140256e-16,0.456164282746613,0.2037585442885756
40,40,40,69953604,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.2944140736384374,40,0f252549,256.0,Adagrad,0.029449650699379,5.0,16.0,xavier_normal_,0.2991007445325125,-0.4741596777214948,lp,True,6.527786255355309e-11,8.263792448953967e-09,-0.1090701101347804,-0.4159625200554728
41,41,41,69953604,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2296758464098588,41,03103bda,1024.0,Adagrad,0.0007155021928191,0.0,512.0,normal_,0.000906910943887,-0.2006609057299792,,True,5.858294401343477e-17,0.0001203892033892,-0.4200060935690999,0.4481969512999058
42,42,42,69953604,fb15k-237,complex,0,search,1vsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.0045034890981151,42,e0bc8b58,128.0,Adam,0.64728709349276,7.0,32.0,uniform_,0.0151777034268697,-0.9489026262046396,lp,False,0.0001530522255572,1.907656081401347e-16,0.018290433101356,-0.1754155773669481
43,43,43,69953604,fb15k-237,complex,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.241129181369404,43,13913bf6,1024.0,Adagrad,0.0047048730671937,1.0,64.0,uniform_,0.0006063219589525,-0.2583214480359572,lp,False,9.633251753484756e-07,3.356634203463956e-12,-0.2485882267355919,0.3281596712768078
44,44,44,69953604,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.1367127073977045,44,0e6e7839,128.0,Adam,0.1314406447229626,6.0,256.0,xavier_normal_,0.011977435875961,-0.5140141446940321,lp,True,1.945447927081651e-14,9.484821630356723e-10,0.3145799711346626,-0.0403941664844751
45,45,45,69953604,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.2965931696874109,45,77d5667d,512.0,Adam,0.0015763368658753,10.0,16.0,xavier_uniform_,3.612876712893892e-05,-0.7877494423145428,,True,0.0006218234589443,0.0032044967965115,0.1284456308931112,0.0726133426651358
46,46,46,69953604,fb15k-237,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2943173920017108,46,16842d50,256.0,Adagrad,0.3344980023293565,3.0,128.0,xavier_normal_,0.1837918086039386,-0.0317334465560689,lp,False,6.080627667179069e-20,6.393815491781052e-20,-0.3116909507662058,-0.299862484447658
47,47,47,69953604,fb15k-237,complex,0,search,1vsAll,valid,195,,,,mean_reciprocal_rank_filtered_with_test,0.3461991474640005,47,66889376,512.0,Adagrad,0.3755378246058893,0.0,256.0,xavier_uniform_,0.0464453445983476,-0.6960225365737454,,True,0.0279147906388478,4.2792908715181154e-13,0.3747752644121647,-0.445379045791924
48,48,48,69953604,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,320,,,,mean_reciprocal_rank_filtered_with_test,0.3122115423171514,48,63836ece,256.0,Adam,0.0003894818822331,7.0,64.0,uniform_,0.0028130513326308,-0.4515526266467944,lp,False,1.6388537892993585e-19,1.2051304725344135e-10,-0.1908330880105495,0.1731164688244462
49,49,49,69953604,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2852768235849729,49,63f9e5e5,1024.0,Adam,0.0193969674536263,9.0,128.0,xavier_normal_,0.8529366167910137,-0.2252163759050983,lp,False,2.3342210079874723e-08,0.098901163218761,-0.2527456190437078,-0.2053346931934356
