job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transe.entity_embedder.regularize_weight,transe.relation_embedder.regularize_weight,transe.entity_embedder.dropout,transe.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg,transe.l_norm,transe.entity_embedder.normalize.p,transe.relation_embedder.normalize.p
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0284406615758438,32,3e1ddcf3,256.0,Adagrad,0.002644995869999819,8.0,32.0,normal_,0.0029290377656543422,-0.7805910407652333,lp,False,0.014227559155372934,8.338223425381527e-12,-0.03795549925416708,-0.2045199191197753,[],[],0.3519691154360771,2.0,2.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,75,,,,mean_reciprocal_rank_filtered_with_test,0.2317017889444325,33,9371ef5a,512.0,Adagrad,0.5878899752509453,6.0,128.0,normal_,0.044129866068475285,-0.5317450500088929,lp,False,6.524774611393346e-20,1.1883041429736943e-16,-0.3275068923830986,0.2664859788492322,[],[],3.8676120340824127,1.0,2.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0322841725867461,34,ccb63ba3,128.0,Adam,0.0009945108528580423,4.0,64.0,xavier_normal_,1.7339427018665217e-05,-0.3967423387752752,,True,1.6444655071516738e-06,0.02254637935766175,0.09811225533485413,-0.3182436069473624,[],[],9.1473628859967,2.0,-1.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1449761609593313,35,ee623a49,512.0,Adagrad,0.05288190430072183,7.0,64.0,xavier_uniform_,0.0040724582520058955,-0.96644622300243,lp,True,2.331931945279948e-06,6.721768031067024e-11,-0.22816217690706253,0.4215586185455322,[],[],3.6233298759907484,2.0,2.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.1812631433561448,36,4508f0fd,128.0,Adam,0.008582550341275369,4.0,128.0,xavier_normal_,0.00010020362221530984,-0.10487302248259067,lp,False,4.741071416341875e-12,1.5088200347563736e-15,0.4399762898683548,-0.49480065330863,[],[],8.35681602358818,1.0,-1.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0192792028248191,37,ac476c8a,1024.0,Adam,0.14179594667051654,1.0,16.0,xavier_uniform_,0.6950327657659275,-0.3327220938295219,lp,False,1.9153377184617637e-10,6.632347566849567e-20,0.16702693793922663,0.057743512094020844,[],[],7.49745886772871,2.0,-1.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1885966627013829,38,b2bce527,256.0,Adagrad,0.00039531073807264446,9.0,512.0,uniform_,0.0001883774938474995,-0.7211402061061747,,True,5.598166396759758e-16,1.114845439764666e-05,-0.3751349663361907,-0.10754788294434547,[],[],2.138934573158622,1.0,2.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1553620855387439,39,c671b5ff,512.0,Adam,0.013666414295682598,9.0,512.0,xavier_uniform_,0.00041576388946351915,-0.581445804085955,lp,False,2.8674797216099356e-13,2.998617127601599e-14,0.4228799305856228,0.20560293458402157,[],[],2.8535171039402485,1.0,-1.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1282987039314228,40,234968c1,128.0,Adagrad,0.0855829854013066,1.0,16.0,normal_,0.287266617275778,-0.4742786902431678,lp,True,3.2695091129233904e-05,1.5888144325240195e-09,-0.1505625657737255,-0.13236056081950665,[],[],7.505216160789132,2.0,2.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0165115534834349,41,01aff566,1024.0,Adagrad,0.0006816157705287553,4.0,128.0,normal_,4.3282455437023106e-05,-0.21334782214640635,,True,3.296650526492825e-17,0.0001120896381198891,-0.4879652811214328,0.3183808159083128,[],[],6.645859004929662,1.0,2.0,-1.0
733616dc,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0276058948648462,42,c8f2a1b5,256.0,Adam,0.2405596394545207,6.0,64.0,uniform_,0.008585446082314385,-0.8561693992323801,lp,False,2.7287891435674115e-09,7.896592052496499e-19,0.21145377773791552,-0.2685758378356695,[],[],1.3691218011081219,2.0,-1.0,2.0
733616dc,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,275,,,,mean_reciprocal_rank_filtered_with_test,0.1250539239601154,43,acd2b506,1024.0,Adagrad,0.004561210474191125,3.0,32.0,uniform_,4.140303890857379e-05,-0.28842392523431215,lp,False,0.0008406344102416144,8.293163839219091e-13,-0.08332640957087278,0.49344345461577177,[],[],5.854701828211546,2.0,2.0,2.0
733616dc,fb15k-237,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1897362501559381,44,f029002a,256.0,Adam,0.04633191776476748,7.0,256.0,xavier_normal_,0.02018170439014929,-0.6421706305835582,lp,True,1.114537654290989e-14,5.013593632019157e-08,0.37351217586547136,-0.41824781987816095,[],[],1.1254499573260546,1.0,-1.0,-1.0
733616dc,fb15k-237,transe,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1362119093286641,45,bc9ecc4f,512.0,Adam,0.001583414238310683,10.0,16.0,xavier_uniform_,0.0013999057284715443,-0.9201900614064745,,True,9.873234881272816e-08,0.001134464100946646,0.02341366931796074,0.10719752591103315,[],[],4.64109287597239,2.0,-1.0,2.0
733616dc,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1851964597590533,46,a1d1b83e,128.0,Adagrad,0.9515469779265382,0.0,512.0,xavier_normal_,0.1915410358234945,-0.023953083277465703,lp,False,9.105477064590474e-19,5.0273111073041015e-18,-0.3094014786183834,-0.05543955508619547,[],[],9.995306599885225,1.0,2.0,-1.0
733616dc,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2468418909947961,47,415e76e9,512.0,Adagrad,0.21634984490252673,5.0,256.0,normal_,0.004915105442648178,-0.6033883761870396,,True,2.3980855243550084e-07,5.799772699788815e-12,0.31974902283400297,-0.2493323888629675,[],[],9.52510803937912,2.0,-1.0,-1.0
733616dc,fb15k-237,transe,0,search,negative_sampling,valid,130,,,,mean_reciprocal_rank_filtered_with_test,0.1280716468848018,48,d133f045,128.0,Adam,0.0003543590633124161,5.0,32.0,uniform_,0.0001733662643300613,-0.4678974239761382,lp,False,1.2297249917794969e-20,4.3323688521911563e-07,-0.1057365657761693,0.16632427088916302,[],[],4.803676335141063,1.0,2.0,2.0
733616dc,fb15k-237,transe,0,search,negative_sampling,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.1203453583903621,49,ebac1c5f,1024.0,Adam,0.07630474959363805,8.0,512.0,xavier_normal_,0.8249703486496575,-0.21954074520733202,lp,False,0.08954393334993088,0.03242670586987272,-0.2556383293122053,-0.35533501021564007,[],[],0.66303133033216,2.0,2.0,-1.0
